sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
1238,汐止區,保長路51巷口,25.0784,121.67382,21.0,6.5,7.0,0.5,0.0,5.4
1239,汐止區,北港國小,25.08903,121.64595,20.0,2.7,8.9,0.0,5.8,2.5
1240,汐止區,南興公園,25.05978,121.65255,32.0,9.9,10.6,0.8,0.0,18.8
1241,汐止區,原住民族公園,25.07122,121.64162,23.0,0.1,11.3,0.0,9.3,0.0
1242,汐止區,原興廣場,25.06507,121.63304,49.0,13.6,15.4,0.2,0.0,11.6
1243,汐止區,台灣科學園區,25.05793,121.63496,54.0,5.6,13.6,0.0,7.2,0.0
1244,汐止區,台練橋,25.07201,121.6627,14.0,6.7,6.0,1.8,0.0,11.6
1245,汐止區,同興大同路口,25.05981,121.63882,30.0,0.0,0.0,0.0,0.0,100.0
1246,汐止區,同興工建路口,25.06249,121.63682,20.0,4.6,5.8,0.0,0.0,9.6
1247,汐止區,啟德橋(招商街),25.06786,121.66801,19.0,9.2,9.1,1.5,0.0,10.2
1248,汐止區,國泰綜合醫院,25.07315,121.66256,44.0,16.6,14.7,4.4,0.0,4.1
1249,汐止區,大同建成路口,25.07258,121.66558,30.0,5.7,10.2,0.0,0.0,4.1
1250,汐止區,大同路三段148號,25.07617,121.67296,19.0,8.2,9.1,0.3,0.0,0.0
1251,汐止區,崇德國小,25.06938,121.66979,47.0,7.5,9.5,0.0,0.0,10.6
1252,汐止區,崇德橋東活動中心,25.07051,121.667,22.0,8.5,8.3,1.4,0.0,15.4
1253,汐止區,工建樟樹一路口,25.06319,121.64112,44.0,5.0,11.2,0.0,5.4,3.1
1254,汐止區,康寧街307巷,25.06809,121.62697,28.0,6.2,10.4,0.0,0.0,3.7
1255,汐止區,康福公園,25.06894,121.63748,28.0,8.2,10.2,0.0,0.0,7.2
1256,汐止區,建成段平面停車場,25.07336,121.66542,15.0,1.2,4.7,0.0,2.7,2.1
1257,汐止區,建成路142巷口,25.07335,121.66255,53.0,14.7,17.1,0.0,0.0,4.0
1258,汐止區,忠孝東路382巷口,25.07001,121.66552,22.0,0.8,6.1,0.0,4.1,1.6
1259,汐止區,忠山市民活動中心,25.0782,121.62449,38.0,3.1,21.4,0.0,17.9,0.0
1260,汐止區,文化白雲公園,25.05688,121.65521,76.0,24.3,27.3,0.7,0.0,23.2
1261,汐止區,春之霖社區,25.0794,121.6625,11.0,0.8,5.2,0.0,3.2,1.3
1262,汐止區,東勢宜興活動中心,25.03881,121.62429,33.0,8.9,17.6,0.0,0.0,2.7
1263,汐止區,東方科學園區,25.06126,121.64951,63.0,0.2,8.6,0.0,6.6,0.3
1264,汐止區,樟樹一山光路口,25.070295,121.64286,30.0,8.5,14.6,0.0,0.0,2.0
1265,汐止區,樟樹國小,25.06693,121.64039,50.0,10.5,18.3,0.0,0.0,0.3
1266,汐止區,樟樹國小(樟樹一路145巷口),25.06735,121.6424,20.0,6.1,4.7,2.3,0.0,14.0
1267,汐止區,樟江大橋,25.07578,121.64481,13.0,2.8,5.0,0.0,0.0,8.2
1268,汐止區,橋東里(忠孝東路),25.07368,121.66626,36.0,6.5,12.4,0.0,0.0,4.9
1269,汐止區,民族二街明峰街口,25.07105,121.63502,22.0,5.0,10.6,0.0,4.8,0.3
1270,汐止區,水蓮山莊,25.07797,121.6301,22.0,1.1,6.6,0.0,4.6,0.7
1271,汐止區,水返腳公園,25.06813,121.65901,28.0,3.7,8.8,0.0,4.6,0.0
1272,汐止區,汐止公園,25.06781,121.65964,10.0,0.0,0.0,0.0,0.0,100.0
1273,汐止區,汐止區公所,25.06416,121.6583,32.0,2.1,8.7,0.0,6.3,0.6
1274,汐止區,汐止區綜合運動場,25.06624,121.65907,34.0,0.0,0.0,0.0,0.0,100.0
1275,汐止區,汐止區農會附設老人活動中心,25.09705,121.64241,16.0,0.3,7.4,0.0,5.4,0.0
1276,汐止區,汐止國小,25.06612,121.65433,18.0,6.5,6.8,0.6,0.0,7.9
1277,汐止區,汐止國民運動中心,25.06538,121.65693,12.0,3.4,3.1,0.9,0.0,7.2
1278,汐止區,汐止國民運動中心游泳池(忠孝東路),25.06416,121.65726,12.0,2.9,5.5,0.0,0.0,2.5
1279,汐止區,汐止火車站,25.06891,121.66275,56.0,18.8,20.5,1.1,0.0,0.0
1280,汐止區,汐止火車站停車場,25.06795,121.66168,99.0,31.2,39.0,0.0,0.0,0.0
1281,汐止區,汐科火車站(北),25.06426,121.65294,76.0,16.0,27.7,0.0,0.0,0.0
1282,汐止區,汐科火車站(南),25.062744,121.64684,77.0,6.6,19.7,0.0,12.1,0.4
1283,汐止區,汐萬康寧街口,25.07479,121.65023,13.0,1.2,4.8,0.0,2.8,1.7
1284,汐止區,汐萬抽水站,25.0827,121.64843,9.0,1.0,3.7,0.0,1.7,1.7
1285,汐止區,汐萬路一段343巷,25.07716,121.64971,16.0,1.7,6.1,0.0,4.1,0.0
1286,汐止區,江北二橋,25.06997,121.65297,32.0,1.5,6.9,0.0,4.9,1.6
1287,汐止區,湖光市民活動中心,25.06849,121.63362,16.0,1.1,6.0,0.0,4.0,1.1
1288,汐止區,濱湖大第(康寧街),25.07225,121.63758,20.0,1.6,6.5,0.0,4.5,0.7
1289,汐止區,白雲國小,25.04758,121.61889,43.0,17.9,22.4,0.0,0.0,10.9
1290,汐止區,矽谷園區,25.06227,121.63447,48.0,3.0,8.3,0.0,4.8,4.1
1291,汐止區,福德一路201巷口(福德ONE社區),25.06575,121.6351,37.0,13.5,19.3,0.0,0.0,12.3
1292,汐止區,福德一路392巷41弄口,25.06314,121.62637,20.0,3.4,8.1,0.0,4.2,0.0
1293,汐止區,福德一路392巷口,25.06098,121.62754,20.0,7.2,7.3,1.0,0.0,0.1
1294,汐止區,福德二路19巷口,25.06841,121.63533,12.0,2.3,5.9,0.0,3.3,2.4
1295,汐止區,秀峰國小(仁愛路106巷),25.06266,121.66294,16.0,7.7,5.8,3.1,0.0,7.3
1296,汐止區,秀峰高中(忠孝東路),25.06635,121.66172,16.0,6.3,6.0,1.2,0.0,0.6
1297,汐止區,茄苳茄福街口,25.06723,121.673,15.0,5.4,5.7,0.5,0.0,15.1
1298,汐止區,華城橋（康寧街61巷）,25.06833,121.61988,30.0,8.4,17.6,0.0,7.9,1.3
1299,汐止區,蘭庭序大廈,25.07207,121.65207,30.0,3.5,9.6,0.0,5.6,5.9
1300,汐止區,連興龍安路口,25.06299,121.65443,70.0,4.4,14.0,0.0,9.0,1.0
1301,汐止區,金龍公園,25.06947,121.63153,42.0,10.8,21.2,0.0,0.0,1.1
1302,汐止區,金龍國小,25.0691,121.62867,29.0,6.4,10.0,0.0,0.0,2.4
1303,汐止區,長安橋(吉祥街12巷),25.08033,121.66846,43.0,7.9,22.3,0.0,13.2,0.6
1304,汐止區,長興橋,25.08055,121.67187,15.0,5.0,4.9,0.8,0.0,11.3
1305,汐止區,長興街二段62號,25.08192,121.67449,13.0,7.0,4.3,3.7,0.0,8.2
1306,汐止區,雍和科學園區,25.05808,121.62602,33.0,6.5,11.7,0.0,0.0,0.1
1307,汐止區,青山國民中小學,25.06103,121.65559,56.0,12.0,20.1,0.0,0.0,5.4
1308,泰山區,台北花園廣場社區,25.0641,121.426,20.0,3.0,9.8,0.0,6.4,0.4
1309,泰山區,台貿三村停車場,25.06712,121.43169,15.0,2.5,8.2,0.0,5.3,1.4
1310,泰山區,台麗街13巷,25.03829,121.42464,22.0,11.0,10.6,2.1,0.0,8.2
1311,泰山區,同興公園,25.0552,121.432,26.0,6.2,8.9,0.0,0.0,1.8
1312,泰山區,和平楓樹街口(和平公園),25.06456,121.43507,15.0,0.3,7.0,0.0,5.0,0.0
1313,泰山區,山腳停車場,25.06515,121.42904,15.0,2.0,5.5,0.0,3.2,5.2
1314,泰山區,捷運泰山站,25.0531,121.44,37.0,18.9,21.3,0.5,0.0,0.0
1315,泰山區,捷運泰山站(4號出口),25.05313,121.43909,26.0,9.1,12.5,0.0,0.0,0.3
1316,泰山區,捷運泰山貴和站,25.03319,121.42222,45.0,18.2,16.7,4.3,0.0,2.1
1317,泰山區,文中一平面停車場,25.04512,121.42845,20.0,2.5,9.8,0.0,6.9,1.3
1318,泰山區,新五泰國民運動中心,25.05582,121.43427,28.0,7.0,12.5,0.0,0.0,2.0
1319,泰山區,新北大道幸福路口(大道鎏域社區),25.04934,121.43671,40.0,8.1,15.3,0.0,0.0,4.5
1320,泰山區,明志國小,25.04573,121.42627,40.0,11.8,19.5,0.0,0.0,5.8
1321,泰山區,明志科技大學,25.04043,121.42255,45.0,2.9,10.7,0.0,7.3,0.8
1322,泰山區,明志貴鳳街口,25.03124,121.42108,17.0,3.5,5.5,0.0,0.0,1.6
1323,泰山區,楓樹腳公園,25.062,121.43498,20.0,1.8,7.3,0.0,5.3,1.0
1324,泰山區,泰山國小,25.06252,121.43119,20.0,1.7,9.0,0.0,7.0,1.1
1325,泰山區,泰山體育館,25.05513,121.42766,15.0,0.9,4.6,0.0,2.6,2.4
1326,泰山區,泰山高中,25.058,121.42886,20.0,3.9,8.5,0.0,4.1,3.4
1327,泰山區,義仁市民活動中心,25.05048,121.42767,20.0,6.3,10.3,0.0,0.0,1.4
