sid,district,name,lat,lon,cap,need,stock,deficit,surplus,zero_share
711,新莊區,新月橋,25.03208,121.44982,60.0,7.8,11.1,0.0,0.0,1.0
712,新莊區,新樹公園,25.00338,121.43315,25.0,8.0,9.6,0.0,0.0,1.4
713,新莊區,新樹路258巷口,25.01525,121.43269,19.0,2.8,7.4,0.0,4.1,1.8
714,新莊區,新泰公園,25.0372,121.44495,30.0,10.5,11.6,0.4,0.0,1.0
715,新莊區,新泰國中,25.04316,121.44414,24.0,5.7,5.1,1.4,0.0,7.2
716,新莊區,新泰游泳池,25.04616,121.44228,40.0,2.7,8.1,0.0,5.0,2.1
717,新莊區,新泰路255巷口,25.03936,121.4427,20.0,9.9,9.7,1.8,0.0,0.1
718,新莊區,新莊勞工中心,25.02033,121.43374,26.0,7.6,12.6,0.0,0.0,2.3
719,新莊區,新莊國民運動中心,25.03932,121.44898,52.0,4.8,11.7,0.0,6.1,0.6
720,新莊區,新莊國民運動中心(和興街),25.03891,121.44759,12.0,5.6,7.1,0.0,0.0,1.1
721,新莊區,新莊快樂公園,25.03033,121.44355,27.0,3.3,12.3,0.0,8.4,0.0
722,新莊區,新莊文化藝術中心,25.04714,121.4445,40.0,6.4,5.0,2.3,0.0,4.1
723,新莊區,新莊棒球場,25.04138,121.44609,69.0,3.7,8.1,0.0,3.8,0.4
724,新莊區,新莊棒球場(和興街),25.04069,121.44654,37.0,3.6,8.7,0.0,4.6,1.0
725,新莊區,新莊田徑場,25.04341,121.45259,42.0,10.5,12.6,0.0,0.0,0.7
726,新莊區,新莊運動公園地下停車場,25.043,121.44941,14.0,8.2,5.2,4.2,0.0,4.2
727,新莊區,新莊體育館,25.04078,121.45255,47.0,11.7,11.9,1.5,0.0,11.3
728,新莊區,昌平公園,25.05866,121.45811,55.0,6.0,17.0,0.0,10.1,4.1
729,新莊區,昌平國小,25.05658,121.45685,18.0,2.3,2.5,0.0,0.0,10.0
730,新莊區,昌盛橋,25.04973,121.45317,20.0,11.7,7.5,5.9,0.0,1.4
